Location_Name,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Dietary Health Restriction,Meal Site Type,Food Items Available,Accessibility,Clients,Public
Mt. Airy Community Fridge,"6900 Stenton Ave, ",Philadelphia,PA,19150,United States,-75.1773000000000,40.041570000000,267-415-6532,https://www.mtairyeats.org,,Food Pantry or Fridge,"Garbanzo beans,canned beans, canned chicken and brown rice soup, penne pasta",,,
Mama-Tee Fridge,"1255 E Palmer St,",Philadelphia,PA,19125,United States,-75.1291600000000,39.972510000000,,https://www.mama-tee.com/communityfridge,,Food Pantry or Fridge,,,,
South Philly Community Fridge,"1149 S 9th St,",Philadelphia,PA,19147,United States,-75.1586400000000,39.935180000000,,https://southphillyfridge.com,,Food Pantry or Fridge,"Summer squash, lettuce, asparagus, cheetos, cookies",,,
Cornerstone Community Church,3167 Frankford Ave.,Philadelphia,PA,19134,United States,-75.1104100000000,39.992910000000,215-426-3644,https://www.cccphilly.com,,Food Pantry or Fridge,"Hot Dogs, caesar salads",,,
Fridges and Family," 1149 S 9th St. Philadelphia,",Philadelphia,PA,19147,United States,-75.1585800000000,39.935130000000,,https://www.fridgesandfamily.com/,,Food Pantry or Fridge,"Bread, potatoes, lettuce, milk, asparagus",,,
Franny Lou's Porch," 2400 Coral St,",Philadelphia,PA,19125,United States,-75.1298200000000,39.985040000000,,https://www.mamateefridge.com/fridgelocations,,Food Pantry or Fridge,"Apples,bananas, squash, eggplants, lettuce, cucumbers, broccoli",,,
Mama-Tee Fridge Location,2401 E Letterly St.,Philadelphia,PA,19125,United States,-75.1232300000000,39.984320000000,,https://www.mamateefridge.com/fridgelocations,,Food Pantry or Fridge,"Carrots, mangos, broccoli, canned string beans",,,
Love Your Neighbor Philly,"4700 City Avenue,",Philadelphia,PA,19131,United States,-75.1232300000000,39.984320000000,,https://www.instagram.com/p/CU0Qx6krP9e/,,Food Pantry or Fridge,"Baby spinach, lettuce, apples, broccoli, mangos, macaroni and cheese",,,
Vault and Vine,"3507 Midvale Avenue , ",Philadelphia,PA,19129,United States,-75.1933100000000,40.018670000000,,https://www.instagram.com/eastfallscommunityfridge,,Food Pantry or Fridge,"Bagels, bananas, potatoes, canned bean soup, water melon, cookies, carton of eggs",,,
River of Life,"701 E. Cornwall St,",Philadelphia,PA,19134,United States,-75.1167600000000,39.999490000000,,https://www.facebook.com/ROLPhiladelphia/,,Food Pantry or Fridge,"Bagels, Coffee, Tuna Wraps",,,
St. Michael's Lutheran Church," 2139 E Cumberland St,",Philadelphia,PA,19125,United States,-75.1246400000000,39.982590000000,215-423-0792,https://nkcdc.org/business-arts/business-directory/st-michaels-lutheran-church,,Food Pantry or Fridge,"Minestrone soup, chicken sandwiches",,,
Bethel Temple Bible Church,"228 E Allegheny Ave,",Philadelphia,PA,19134,United States,-75.1263000000000,39.998150000000,,www.betheltemplechurch.net,,Food Pantry or Fridge,"Turkey sandwiches, chicken noodle soup",,,
The Simple Way," 3234 Potter St, ",Philadelphia,PA,19134,United States,-75.1121600000000,39.998070000000,,https://thesimpleway.org,,Food Pantry or Fridge,"Yogurt, wafflez, macaroni and cheese, mushrooms, bone broth",,,
